日付,検索条件,タイトル,メルカリ価格,メルカリURL,eBay中央値,eBay出品数,判定,推奨出品価格
2026-04-14,cat:10861 | ¥1000-50000,2024 DBS-FSN WORLD JP ベジータ GEM MT 10,45000,https://jp.mercari.com/item/m96763840105,100424624,367.19,1,NOGO,500.24
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ゴテンクス SB02-022 MANGA BOOSTER 02,47799,https://jp.mercari.com/item/m38277665753,139852522,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ゴテンクス SB02-022 MANGA BOOSTER 02,44799,https://jp.mercari.com/item/m43937396675,139852522,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,【psa10】ブロリー　エナジーマーカー,13999,https://jp.mercari.com/item/m29314839446,88271251,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,ドラゴンボール フュージョンワールド ゴテンクス SB02-022 PSA10,45000,https://jp.mercari.com/item/m63353967203,140809031,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ブルマ L★ SB01-045フュージョンワールド,35000,https://jp.mercari.com/item/m31239347907,12590139,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,【PSA10】ドラゴンボール　エナジーマーカー　ブルマ E-73 10巻DBFW,37900,https://jp.mercari.com/item/m89280063615,140955429,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,エナジーマーカー　悟空ブラック　PSA10,13000,https://jp.mercari.com/item/m48832974751,89752454,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 エナジーマーカーフュージョンワールド　ギニュー,12500,https://jp.mercari.com/item/m21729477875,91248008,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,PSA10 雷龍 R-P [OP15-077] ブースターパック「神の島の冒険」,49800,https://jp.mercari.com/item/m21720193001,155746272,900.0,1,GO,855.98
2026-04-14,cat:1409 | ¥1000-50000,シャンクス SR SP ST16-004 PSA10,30000,https://jp.mercari.com/item/m29398884105,109204387,350.0,26,GO,332.98
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】ONE PIECEカード ヒロインズエディション 金ドン,27777,https://jp.mercari.com/item/m30774862355,139348810,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】トラファルガー・ロー SP SEC OP10-119,27800,https://jp.mercari.com/item/m96937600846,151238659,799.85,71,GO,759.98
2026-04-14,cat:1409 | ¥1000-50000,ワンピースカード ヒロインズエディション 限定ドンカード,13333,https://jp.mercari.com/item/m56651916386,139348823,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】ゼウス SP エッグヘッドクライシス収録 OP11-106,49800,https://jp.mercari.com/item/m42770404917,153333955,398.16,60,NOGO,551.33
2026-04-14,cat:1409 | ¥1000-50000,【PSA10】2025 ONE PIECE OP11 JP #005 ルフィ太郎,35500,https://jp.mercari.com/item/m27622078500,142925218,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ONE PIECE カード ドンキホーテ・ロシナンテ PSA10,22500,https://jp.mercari.com/item/m45932567485,150265028,,,UNKNOWN,
2026-04-14,cat:1409 | ¥1000-50000,ト*ク様 【ポケモンカード】ミュウツー25th psa10,45666,https://jp.mercari.com/item/m51725974354,140838034,,,UNKNOWN,
